Startup,Type,Intro,Fondateurs,Description,Site,Lien Utile,Info
JERONIMOOOO,"Emploi, Job",Permettre aux indépendants de mettre en place un réseau efficient pour leur activité professionnelle,['Jérôme  Sevestre'],"['Être indépendant n’a jamais voulu dire être dans la panade, ne plus dormir, être perdu, ne pas savoir comment sécuriser son acquisition client et surtout se retrouver seul du jour au lendemain alors que l’idée de base est bien souvent d’être libre de ses mouvements émotionnels et financiers.', 'La solitude de l’indépendant/l’entrepreneur, n’est pas un mythe, elle touche 87% de cette population qui a le courage de se lancer dans le vide bien souvent sans parachute doré, juste pour être en phase avec elle-même.', 'C’est pourquoi, nous avons décidé de lancer Jeronimoooo !', 'Jeronimoooo se veut être la 1ère action concrète et complète que peut mettre en place un indépendant pour créer du lien avec d’autres personnes partageant un mindset similaire et mettre en place un réseau efficient pour son activité professionnelle.', 'En plus de créer du lien, Jeronimoooo vous permet d’avoir accès à un ensemble de services essentiel au quotidien à des tarifs négociés auprès de partenaires réactifs et dignes de confiance.', '', 'Ajoutée le : 11 septembre 2019']",jeronimoooo.co,['https://www.linkedin.com/company/jeronimoooo/'],Pays de la Loire
HELLOHOME,"Immobilier, BTP, Architecture - Immobilier","Met en relation des personnes cherchant un bien à louer ou acheter, et les professionnels de l'immobilier",['Etienne LONGEAUD '],"['En moins de 3 minutes, vous décrivez ce que vous recherchez.', ""Nous partageons votre recherche avec toutes les agences immobilières et professionnels susceptibles d'avoir un bien qui correspond"", 'Nous vous mettons en contact ou vous transmettons les meilleurs opportunités correspondant à votre recherche.', 'Vous choisissez lesquelles vous intéressent', 'Echangez avec les agences et vendeurs que vous aurez sélectionnés, visitez... et trouvez votre bonheur.', '', 'Ajoutée le : 11 septembre 2019']",hellohome.fr/,['https://www.linkedin.com/company/hellohome-fr/'],Commerçant
MILVUE,"Santé, Biotech, Chimie - Accessoires médicaux",L'Intelligence Artificielle Pour La Radiologie d'Urgence,['Alexandre PARPALEIX '],"['', 'Ajoutée le : 11 septembre 2019']",milvue.com,['https://www.linkedin.com/company/18657184/'],Société par action simplifiées
CALA,"Restauration, Cuisine, Alimentation","Le premier restaurant de pâtes, où le cuisto c'est le robot",['Ylan RICHARD '],"[""Nous avons construit\xa0le premier restaurant de pâtes entièrement robotisé pour transformer la structure de coûts et l'expérience des restaurants\xa0rapides."", 'C’est la raison pour laquelle nous avons créé Cala, pour faire entrer le déjeuner dans une nouvelle ère et dans votre assiette en moins d’une minute.', 'Il faut juste une cuisine de 3m2 pour servir très rapidement 800 repas par heure cuisinés avec des ingrédients frais et biologiques.', '', 'Ajoutée le : 10 septembre 2019']",eatcala.com/,['https://www.linkedin.com/company/calaeat/'],Société par action simplifiées
URBASSIST,Services aux particuliers,Le premier assistant d’urbanisme en ligne,['Guilhem  TUFFERY'],"['Urbassist est une plateforme web (www.urbassist.fr) \xa0qui facilite et accélère l’établissement des demandes d’urbanisme telles que les déclarations préalables et les permis de construire.', 'En moins d’une heure, les utilisateurs obtiennent gratuitement les Cerfas, ces formulaires administratifs réglementés, correspondant aux travaux prévus.\xa0', 'Cet outil numérique permet également aux utilisateurs de dessiner leurs plans de masse en ligne, d’obtenir automatiquement les plans de coupe et de pouvoir les télécharger immédiatement au format PDF. \xa0', 'Urbassist permet ainsi de constituer en ligne le dossier préalable indispensable avant de commencer des travaux.\xa0\n\xa0', '', 'Ajoutée le : 10 septembre 2019']",urbassist.fr,['https://www.linkedin.com/company/14836091/admin/'],Société par action simplifiées
BEAUTYCAB,"Mode, Textile, Beauté - Cosmétique","Votre espace beauté où vous voulez, quand vous voulez",['Johanna STREIFF '],"['Première plateforme innovante de location éphémère d’espace de travail destinée aux professionnels de la beauté BeautyCab® met en relation :', '• des Espaces Beauty souhaitant louer leur cabine, leur fauteuil, leur espace de travail : propriétaires ou managers de salon de coiffure, institut de beauté, barbershop, bar à ongles, SPA, ...', '• et des professionnels de la beauté sous statut indépendant ou freelances! Des coiffeurs, esthéticiennes,\nbarbiers, maquilleuses, prothésistes ongulaires... cherchant à louer une cabine, fauteuil ou un espace de travail pour la journée, la semaine, le mois, voire l’année.', 'Les propriétaires d’Espaces Beauty peuvent bénéficier d’un complément de chiffre d’affaires en louant leurs espaces vacants.\xa0\nLes freelances, quant à eux, y trouvent une alternative au secteur de la beauté à domicile.\xa0', 'Avec la location « à la carte », ils s’installent à moindre frais, sans engagement, avec des démarches administratives simplifiées. Ils peuvent fixer librement les tarifs de leurs prestations et préservent ainsi leur indépendance tout en bénéficiant d’un tremplin.', 'Une relation GAGNANT-GAGNANT', '', 'Ajoutée le : 10 septembre 2019']",beautycab.fr/,['https://www.linkedin.com/company/beautycab-rentmybeautycab/'],Société par action simplifiées
FREQUENS,Transport & Logistique - Voiture,Eviter les amendes de stationnement,[],['Ajoutée le : 10 septembre 2019'],frequens.com,['https://www.linkedin.com/company/41646105'],FREQUENS
THE IDEALL,"Art, Culture, Loisirs, Sport - Sortie",Des expériences à découvrir et à offrir en lien avec vos goûts et vos envies,"['Mainou LAOUCHEZ ', 'Alexandra GUENANTIN ']","['Comment tu fais quand tu as envie de sortir, mais que tu n’as aucune idée ? Que tu dois acheter un cadeau à un proche mais que tu es en panne d’inspiration ?', 'IdeAll te permet de réaliser ou d’offrir des expériences selon les goûts, les pratiques et les envies de la personne.', ""Et oui, nous sommes la première plateforme de matching d'idées cadeaux et d'expériences ! Nous prenons en compte vos goûts et vos envies pour vous proposer les expériences idéales à vos yeux.\xa0"", 'Fondée en 2019 par deux entrepreneuses déterminées, IdeAll est un réel projet social qui met au centre les goûts de nos membres grâce à digital pour leurs permettre de vivre un moment idéal !\xa0', 'Alors ne ratez plus une seconde et faites partie de cette aventure !\xa0', '', 'Ajoutée le : 10 septembre 2019']",theideall.com,['https://www.linkedin.com/company/theideall/'],Société par action simplifiées
HEROPOLIS,Services aux entreprises - RH,Gestion des risques sécurisée,['Jean INGEA '],"['Heropolis place la Sûreté et la Sécurité au coeur des organisations à travers deux outils de qualité.', 'Au delà des offres de protection individuelles, vous planifiez et suivez en temps réel votre politique sûreté, de l’urgence à la crise.\n\nAvec Heropolis, votre organisation sait réagir et s’adapter rapidement face aux nouvelles menaces.\n\xa0', '', 'Ajoutée le : 10 septembre 2019']",heropolis.fr,['https://fr.linkedin.com/company/heropolis'],Société par action simplifiées
MIKRO,Transport & Logistique - Logistique,Service de débarras encombrants professionnels Paris & Toulouse,['Arnaud HUMBERT DROZ '],"['MIKRÔ, c’est la solution pour vous débarrasser de vos encombrants professionnels tout en leur donnant une seconde vie.\xa0', 'Vous êtes un acteur de la restauration ou du commerce de proximité, un bureau de PME ou PMI et la vie de votre entreprise nécessite parfois du changement ?', 'Au cœur des villes, il n’est pas facile de vous débarrasser des quelques m3 qui peuvent rapidement vous embarrasser.\xa0', 'Le service MIKRÔ est fait pour vous ! Il apporte une réponse clé en main, efficace et au meilleur prix : une équipe de mikrôs locaux vient vous débarrasser sur place de vos encombrants professionnels. Et même en étage !', '', 'Ajoutée le : 10 septembre 2019']",mikro-service.fr/,['https://www.linkedin.com/company/mikro-services/'],Société par action simplifiées
AIVE,SSII & NTIC - Media,Outil de personnalisation de pubs vidéo grâce à l'IA,"['Olivier REYNAUD ', 'Rudy LELLOUCHE ']","['Aive est une Startup cofondée par Olivier Reynaud (Teads) & Rudy Lellouche (Adyoulike) qui a pour mission de Révolutionner l’industrie vidéo grâce à une intelligence artificielle créative.', '', 'Ajoutée le : 10 septembre 2019']",aive.com/,['https://www.linkedin.com/company/aive-com/'],Société par action simplifiées
BLIINK,Services aux entreprises - Productivité,"Une entreprise d'intelligence visuelle, dotée d'une grande expertise en vision par ordinateur",['Siham FADILI '],"['Nous pensons sincèrement que le meilleur moyen de résoudre le monde complexe qui nous entoure est de trouver le juste équilibre entre créativité, technologie de pointe, stratégie UX et marques, afin de pouvoir proposer des annonces offrant la plus grande valeur ajoutée possible.', ""Notre technologie unique fournit une solution reliant les marques et les éditeurs afin d'améliorer l'expérience utilisateur à travers tout le contenu visuel."", '', 'Ajoutée le : 09 septembre 2019']",bliink.io/,['https://www.linkedin.com/company/bliink-io/'],Société par action simplifiées
COWLOC,Services aux entreprises - Productivité,La première communauté de Colocation entre Pros,['Christopher  Hablet'],"['Une solution pour les professionnels qui souhaite rentabilité leurs espaces de travail inoccupés.', 'Une vitrine à optimiser ? Un espace libre ? Des fauteuils vides ? \xa0', 'Cowloc propose à ses adhérents de poster leurs annonces et proposer leurs espaces à d’autres professionnels.\xa0', '', 'Ajoutée le : 09 septembre 2019']",app.cowloc.fr,['https://www.linkedin.com/showcase/cowloc'],Association déclarée
COLIVER,Transport & Logistique - Livraison,La communauté collaborative de la colivraison,['Karim TAHRI '],"['Gratuit, collaboratif, sécurisé et basé sur le principe de la colivraison, Colivrer.com vous propose une solution optimale face aux difficultés de livraison et aux frais d’expédition.', '➜ Partagez votre trajet et rentabilisez votre voyage.\n➜ Livrez votre colis en toute sérénité.', '', 'Ajoutée le : 09 septembre 2019']",colivrer.com,['https://www.linkedin.com/company/colivrer.com/'],Société par action simplifiées
HECOSFAIR,"Restauration, Cuisine, Alimentation","Epicerie fine, bio, équitable et respectueuse de la cause animale",['Herlyne BAPTISTE '],"[""Nos objectifs principaux sont de promouvoir le commerce équitable, l'agriculture biologique et le respect de la cause animale en prônant des achats responsables, pour une meilleure qualité de vie des consommateurs, des producteurs et des animaux."", 'Hecosfair répond à la demande croissante de clients, soucieux de manger mieux, de prendre soin de leur forme et de leur santé, de participer à l’essor du développement durable et de la protection animale.', 'Elle s’adresse aussi aux professionnels désireux de s’engager dans une démarche durable et éthique, en faisant des achats responsables pour leurs salariés ainsi que pour leur clientèle.\n\xa0\nHecosfair sélectionne les produits bio avec le plus grand soin pour une qualité optimale et une excellence gustative, et exclue tous produits qui ont nécessité une souffrance animale.', ""Pour les produits cultivés en France, Hecosfair s'approvisionne auprès de producteurs locaux, suivant son éthique de circuit court."", 'Tous les articles non produits en France sont achetés à un importateur bio français sérieux, soucieux de la qualité de sa marchandise et adepte du commerce équitable.', 'Certains de nos produits proviennent de coopératives haïtiennes comme la COOPAAFA. Ces produits sont cultivés sans pesticide, dans les champs familiaux selon des méthodes traditionnelles.', ""Ils sont récoltés et conditionnés à la main, en respectant les règles d'hygiène alimentaires et leur qualités gustatives. Ce sont ainsi le maintien de l’emploi pour une centaine d’agriculteurs haïtiens.\n\xa0\nHecosfair s'engage dans la lutte pour réduire les déchets et notamment les déchets plastiques. Tous nos emballages sont recyclables et nos pots en verre et autres contenants sont rechargeables et réutilisables.\n\xa0"", '', 'Ajoutée le : 09 septembre 2019']",hecosfair.com,['https://www.linkedin.com/company/hecosfair/'],SA par action simplifiée à associé unique
EVOLT,SSII & NTIC,Agence d’innovation service se fondant prioritairement sur les méthodes du design thinking,['Jonathan SCANZI '],"['Évolt est une agence d’innovation service qui accompagne les dynamiques d’innovation de ses clients en se fondant prioritairement sur les méthodes du design thinking.\xa0', 'En concentrant sur un temps court designers, développeurs et stratèges pour prototyper avec vos équipes l’idée d’innovation, nous accélérons fortement la transformation de l’idée en réalisation opérationnelle.', 'Notre méthode permet aussi de maîtriser les risques en recourant très rapidement aux tests des prototypes. Enfin, notre process utilise le prototype comme un outil autour duquel la créativité de vos équipes devient une puissante dynamique d’intelligence collective.', 'Notre maîtrise du design thinking ne constitue qu’un des deux volets de notre efficacité. La veille stratégique est notre second atout.', 'Grâce à une identification et un suivi des tendances prospectives, nous sommes en mesure d’évaluer la synergie potentielle entre vos pistes d’innovation et les lignes de forces qui structurent le monde émergent.', '', 'Ajoutée le : 09 septembre 2019']",evolt.io,['https://www.linkedin.com/company/evolt/'],SA par action simplifiée à associé unique
OGONE,"Electronique & Composants - Réalité Augmentée, Réalité Virtuelle",La Réalité virtuelle et augmentée vous permet de changer de perspective,['Alain BROCHEN '],"['Ogône est spécialisée dans le domaine de la réalité virtuelle & augmentée, le WegGl.', ""Nous développons des applications innovantes mais pratiques, ergonomiques et utiles pour votre domaine d'activité."", ""Nous nous efforçons toujours de rendre l'usage de ces technologies accessible et intuitif afin que l'utilisateur se l’approprie rapidement."", '', 'Ajoutée le : 09 septembre 2019']",ogone-tech.com,['https://www.linkedin.com/company/og%C3%B4ne-sas/'],Société par action simplifiées
IDALLSOFT,"Services aux entreprises - Marketing, communication","Editeur de solutions informatiques, Développement de logiciels sur mesure",['Françoise BLUTOU '],"['Au fil des années et des projets au service de nos clients, nous avons développé des méthodes de travail proches du terrain et des utilisateurs finaux.', ""Méthodologie agile.\nPragmatiques et proches de nos Clients, nous appliquons les 12 principes d'un développement RAD où les besoins du Client et de ses équipes sont au centre du projet plus que les processus et les outils."", ""Un outil, pas une fin en soi.\nLa satisfaction de nos Clients est notre priorité. Nous construisons vos projets autour, et avec des individualités compétentes, complémentaires et motivées. L'important est le résultat, pas les moyens mis en œuvre pour y arriver."", '', 'Ajoutée le : 09 septembre 2019']",idallsoft.net,['https://www.linkedin.com/company/idall-soft'],SARL
KWA DIGITAL,SSII & NTIC,L'intégration Cloud et Web en Open source,['Kévin GUILLON '],"['KWA Digital est une Entreprise de service du Numérique Libre, proposant des solutions Open Source, collaboratives & alternatives aux GAFAM.', 'Le projet est né en 2015 en France, par un collectif d’entrepreneurs du Web, sous la forme d’une agence digitale dédiée à l’intégration et au développement commercial des TPE et des startups.', 'Depuis, KWA Digital s’est spécialisée dans le domaine de l’hébergement et de l’infogérance, renforçant ses équipes Françaises et lançant, en 2018, un centre de production partagé en Asie, plus exactement à Phnom Penh, au Cambodge.', 'KWA Digital propose aujourd’hui les meilleures solutions logicielles open source en mode cloud computing, alliées à l’oﬀre de service de support et d’infogérance la plus concurrentielle du marché.', '', 'Ajoutée le : 09 septembre 2019']",kwa.digital/,['https://www.linkedin.com/company/kwa-digital/'],Société par action simplifiées
LIVE QUESTION,SSII & NTIC - Télecommunication,Obtenez gratuitement des avis et des conseils en live,['Jeff MARTINS JACQUELOT '],"[""Livequestion est une société créée en 2018 par une équipe d'entrepreneurs passionnés, partageant les mêmes valeurs qui se sont unis autour d'une vision et d'une conviction, celle de pouvoir proposer un réseau social d'un nouveau genre qui répond à un besoin universel : celui de pouvoir poser des questions de manière très rapide et très simple en visant une catégorie de personnes afin de lever un doute ou nous aider à faire un choix lorsqu'on en a besoin, que ce soit à titre privé ou professionnel."", '', 'Ajoutée le : 09 septembre 2019']",livequestion.com,['https://www.linkedin.com/company/livequestion/'],SA par action simplifiée à associé unique
TALENT PROGRAM,"Emploi, Job",La première solution globale qui garantit la performance de vos recrutements et de vos mobilités internes,"['Julien Fauchère', 'Didier Tracol']","[""Recrutez ou faites évoluer le bon profil, libérez-vous de tout risque et dépassez vos objectifs d’entreprise ! Le Talent:Program by Fonction:Support c'est :"", '- votre Talent:Program rentabilisé dès la première année.', ""L'augmentation moyenne de productivité estimée directement par nos clients est en effet de 65% la première année."", '- 94% de continuité dans l’emploi après 2 ans, grâce à la performance de notre innovation de service, unique en France, avec 60 Talents déjà déployés.', ""- La garantie d'avoir des résultats dès le premier mois. Désengagement sans frais du Program et 2ème recrutement offert si nous n'avons pas atteint les résultats."", 'Rassuré(e) ? Sautez le pas et contactez-nous pour obtenir un audit gratuit de votre besoin !', '', 'Ajoutée le : 09 septembre 2019']",talentprogram.fr,['https://www.linkedin.com/company/fonction-support/'],Société par action simplifiées
COORGANIZ,Services aux particuliers - Services à domicile,Plateforme d'organisation digitale,"['Emma  Berger', 'Anne-Beatrice  Sonnier']","[""Coorganiz est une plateforme d'organisation digitale qui facilite l'organisation et la communication quotidienne entre aidants professionnels et familiaux."", 'Un message suffit pour créer une information durable qui sera rappelée automatiquement aux bonnes personnes au bon moment.', 'Coorganiz est un outil RH pour les entreprises qui souhaitent accompagner leurs employés dans une meilleure gestion de leur équilibre travail-vie personnelle, et peut intégrer des services additionnels à la demande.', '', 'Ajoutée le : 06 septembre 2019']",coorganiz.com,['https://www.linkedin.com/company/coorganiz/about/'],Ile De France
JOURNEE DE CHASSE,"Art, Culture, Loisirs, Sport - Sport",Réservez des expériences de chasse partout en France,['Paul PONSAR '],"['Passionnés de chasse, nous avons toujours rêvé de pouvoir découvrir d’autres modes de chasse, de nouveaux territoires et de rencontrer d’autres chasseurs, mordus comme nous.', 'Bien vite, nous nous sommes rendus compte que nous n’étions pas des cas isolés et que tous les chasseurs sont avides de nouvelles découvertes : territoires, modes de chasse, gibiers…', 'Ils aiment la diversité mais rencontrent souvent des difficultés pour trouver de nouvelles expériences de chasse. Le choix, la visibilité et le prix sont souvent des points bloquants.', 'C’est suite à ce constat que nous avons décidé de créer la plateforme journeedechasse.com.', ""Journeedechasse.com permet aux différents acteurs de la chasse (particuliers, associations et sociétés de chasse, guides de chasse et domaines de chasse) de mettre en ligne des offres d'expériences (journées, bracelets et actions) pour que les chasseurs puissent accéder facilement à une multitude d'offres en quelques clics."", ""Journeedechasse.com, en association avec AREAS, offre une surcomplémentaire à tous les hôtes assurés organisateur chasse et une assurance organisateur chasse à tous les hôtes qui ne sont pas assurés! Ainsi, cela permet à tous de recevoir l'esprit tranquille.\xa0"", ""Grâce à des filtres précis et de nombreuses fonctionnalités, les chasseurs peuvent chercher une expérience, la réserver, la payer et même l'évaluer en ligne."", 'En donnant la possibilité à un chasseur d’être reçu par un autre chasseur pour pratiquer un nouveau mode de chasse et découvrir de nouveaux territoires, journeedechasse.com renforce l’écosystème de la chasse et l’implante durablement dans les territoires ruraux français.', 'La plateforme favorise la mobilité des chasseurs et permet à tous de réaliser ses rêves cynégétiques.', ""N'hésitez-plus, réservez et proposez des expériences de chasse partout en France"", '', 'Ajoutée le : 06 septembre 2019']",journeedechasse.com,['https://www.linkedin.com/company/journee-de-chasse'],Société par action simplifiées
MA VALISE,"Voyage, Hébergement","Mon espace personnel, mon compte voyageur, ma garantie de vacances de rêves",['Pauline CARDOT '],"['Créer un compte personnel pour chaque voyageur', 'Faciliter l’accès aux offres d’exceptions grâce à vos cagnottes voyageurs.', 'C’est simple, solo, entre ami(e)s ou en famille, ouvrez votre valise.\xa0', 'Créer votre profil voyageur puis abonder à votre rythme et librement dans votre cagnotte.\xa0', 'Que ça soit pour un week-end ou une année, voyagez en fonction de vos envies.', '', 'Ajoutée le : 06 septembre 2019']",voyagesmavalise.com,['https://www.linkedin.com/company/ma-valise/'],Société par action simplifiées
BEELSE,Electronique & Composants - Impression 3D,Start-up qui permet aux entreprises d’intégrer la puissance de la fabrication additive grâce à une plateforme SaaS,['Yannick MARION '],"['Beelse est une startup créée en 2016 par trois fondateurs issus des métiers du marketing, du développement informatique et de la fabrication additive industrielle.', 'Nous ambitionnons de transformer la production mondiale de pièces manufacturières en permettant aux entreprises de fabriquer au plus près du besoin.', 'La solution Beelse réunit différentes technologies et s’appuie sur la fabrication additive que nous maitrisons depuis plus de 25 ans.', 'Aujourd’hui Beelse se déploie sur le territoire tout en se préparant à internationaliser ses services.', '', 'Ajoutée le : 06 septembre 2019']",beelse.com,['https://www.linkedin.com/company/beelse/'],Société par action simplifiées
SERVICE BEAUTE,"Mode, Textile, Beauté - Cosmétique","Esthéticienne à domicile, Coiffure à domicile",['florent  covilette'],"['Service Beauté est la référence des soins de beauté et de coiffure à domicile.', 'Nos praticiens hautement qualifiés et certifiés, mettent leurs services à votre disposition sur toute la France.', '', 'Ajoutée le : 06 septembre 2019']",servicebeaute.fr/,['https://www.linkedin.com/company/beelse/'],SARL unipersonnelle
BREIDAL,"Mode, Textile, Beauté - Accessoires",Bijoux manufacturés à la demande en France et vendus au prix juste,"['Teddy CHEVALIER ', 'Guillaume CHEVALIER ']","['Chez Breidal, nous concevons et fabriquons de façon artisanale, dans notre atelier en Bretagne, des bijoux éthiques d’une grande qualité !', 'Proposés à un prix juste, sans intermédiaires, ni marges excessives et avec un respect sans limites pour nos clients. Tout simplement.', ""Notre histoire débute en 2012 à Rennes lorsque Teddy, avec sa femme Clémentine, décide de lancer un atelier de joaillerie. Rapidement, il ouvre également une boutique, L'Atelier Joaillerie, avec la volonté d'offrir à une clientèle exigeante une joaillerie sur-mesure, en cohérence avec leurs valeurs :"", '- Fabrication artisanale et locale, de haute qualité\n- Avec des pierres et métaux de qualité (or 18k, pierres précieuses, ...)\n- Des choix éthiques et responsables (or recyclé, diamants Kimberley, ...)\n- Conseils et service client irréprochables', ""5 ans plus tard, fort du succès de l'entreprise, Teddy souhaite donner de l'ampleur à une joaillerie éthique, proche du client, et en phase avec les attentes d'une clientèle mal servie. L'idée de Breidal est née."", '', 'Ajoutée le : 05 septembre 2019']",breidal.com,['https://www.linkedin.com/company/breidal/'],Société par action simplifiées
PRINTZ LIVE,"Mode, Textile, Beauté - Vêtements",Bar à print,"['Nicolas Serres', 'Alain Leyravoux']","['Pour tous vos évènements (Salon, Event, Retail, Festival), PRINTZ LIVE vous propose des animations clés-en-main de personnalisation textile live.', 'Engagez votre audience dans une expérience ludique de personnalisation et de co-création.', 'Faites de votre public des ambassadeurs de votre marque.', '', 'Ajoutée le : 05 septembre 2019']",printzlive.co/,['https://www.linkedin.com/company/printz-live/about/'],Société par action simplifiées
LULU ET KROY,"Art, Culture, Loisirs, Sport - Littérature",La littérature jeunesse à destination des 8-12 ans,['Kàroly FOGARASSY '],"[""Les histoires de Lulu & Kroy® commercialise une bibliothèque numérique d'histoires\xa0interactives personnalisées et l’application dédiée, à destination des jeunes de 8-12 ans."", 'Concrètement, il s’agit d’histoires à lire sur tablette et smartphone. Au fil du récit, des\xa0choix différents sont proposés au lecteur, qui peut ainsi modifier le scénario en direct suivant ses goûts.', 'Les choix s’affinent au fur et mesure de la lecture pour offrir un dialogue toujours plus pertinent entre le livre et son lecteur.', '', 'Ajoutée le : 05 septembre 2019']",luluetkroy.fr,['https://www.linkedin.com/company/l-k-studios/'],Société par action simplifiées
TELLNOO,"Electronique & Composants - Réalité Augmentée, Réalité Virtuelle","Application mobile de visite, audioguide universel et gratuit",['Christophe MATHEVET '],"['Voici enfin une application mobile UNIVERSELLE, UNIQUE et GRATUITE ! Un indispensable pour les voyageurs curieux et les passionnés d’arts et d’histoire.', ""Tellnoo, c'est une une application ludique de découverte et de visite guidée de tous les lieux patrimoniaux, culturels, historiques et touristiques de France (et bientôt du monde) !\xa0"", 'Elle recense et livre l’histoire de + de 100 000 points d’intérêt à travers le texte, l’audio, la photo et la vidéo.\xa0', ""Explorez les lieux connus et méconnus du patrimoine Français ! Petit à petit, d'autres pays s'ajouteront automatiquement à votre application et d'autres langues seront bientôt disponibles."", 'Baladez-vous dans la ville et écoutez l’histoire des monuments, puis pénétrez dans un musée où vous sont présentées les oeuvres, rendez-vous au château à proximité pour contempler son parc…', 'Les lieux patrimoniaux les plus proches de vous apparaissent automatiquement sur votre écran ; il vous suffit de cliquer sur l’image et le bouton lecture pour écouter le contenu et visualiser les explications. Et tout cela avec une seule et même application !\xa0', ""L'application en poche, Tellnoo vous notifie l’existence d’un monument tout proche et facilite votre parcours en fonction de vos centres d’intérêt. Flânez en toute sérénité avec votre guide culturel mobile en poche !"", 'De plus, l\'application offre aussi des visites audio-guidées des lieux intérieurs comme des musées ou des châteaux avec une technologie fondée sur des ""beacons""\u200b (bornes bluetooth qui envoient le contenus sur votre mobile).', 'Tellnoo vous permet également de préparer vos voyages : une simple recherche par ville, par mot clé, ou par thème et vous avez l’embarras du choix pour vos visites.', 'Partagez votre expérience sur vos réseaux sociaux préférés.', ""\nMusées ? Châteaux ? L'application vous intéresse, et vous souhaitez l'installer à l'intérieur pour effectuer des visites audio-guidées ? Contactez-nous."", 'Bienvenue dans l’univers Tellnoo.', '', 'Ajoutée le : 05 septembre 2019']",tellnoo.com/,['https://www.linkedin.com/company/tellnoo/'],SA par action simplifiée à associé unique
DDAYS,Services aux particuliers - Services à domicile,Une application simple et gratuite pour organiser facilement vos événements,['Oumar  Ka'],"[""Ddays rassemble tout le nécessaire pour réussir votre organisation (listes d'invités, listes de tâches, listes de courses, sondages, et chat)."", 'Idéal pour planifier un anniversaire, un evjf, une baby-shower, un barbecue, un repas de famille, etc...', 'Passez moins de temps à organiser et plus de temps à profiter.', ""• Créez votre événement dans l'application puis invitez vos amis via sms, mail, ou le moyen de votre choix."", '• Choisissez ensemble une date et un lieu qui conviennent à tous les participants.', '• Faites des sondages pour recueillir les goûts et les préférences de chacun.', '• Créez des listes de tâches et répartissez-les entre vous', '• Gérez le budget de l’événement, listez les cotisations et les dépenses.', '• Notez les frais avancés et laisser Ddays vous indiquer qui doit rembourser qui.', '• Communiquez facilement grâce au chat intégré dans chaque événement.', '• Créez des souvenirs inoubliables en rassemblant vos photos et celles de vos amis dans l’album de l’événement.', '', 'Ajoutée le : 05 septembre 2019']",ddays.app/,['https://twitter.com/@ddaysapp'],Société par action simplifiées
PLACR,"Art, Culture, Loisirs, Sport - Sport","Application mobile qui vous suggère, en temps réel et selon votre géolocalisation, des parcours running sur-mesure","['Fabien GUILLEMOT ', 'Kévin  Menant']","[""Notre application mobile placr vous suggère, en temps réel et selon votre géolocalisation, des parcours running sur-mesure réalisés et partagés par d'autres runners."", 'Un moyen simple et rapide de trouver les meilleurs parcours au plus proche de vous.', 'La possibilité de commenter et donner votre avis sur les meilleurs parcours que vous choisirez.', 'placr, le TripAdvisor du running.', '', 'Ajoutée le : 05 septembre 2019']",placr.io/,['https://www.linkedin.com/company/placr.io/'],Société par action simplifiées
LESBIGBOSS,Services aux entreprises - RH,Événements VIP pour générer des prospects qualifiés et des affaires,['Hervé BLOCH '],"['Notre métier, notre ADN, c’est depuis 2011 la mise en relation business.', 'Le concept BigBoss est né d’une envie : celle de mettre en relation - de manière humaine et ludique - prestataires et annonceurs.', 'lesBigBoss vous proposent, à vous, donneurs d’ordres, de rencontrer des prestataires en dehors de votre zone habituelle de confort.', 'Notre signature est inédite : faire avancer votre business, juste entre humains.', '', 'Ajoutée le : 05 septembre 2019']",lesbigboss.fr,['https://www.linkedIn.com/company/lesbigboss'],Société par action simplifiées
OTHEROFFICE,Services aux entreprises - Productivité,Plateforme numérique pensée pour replacer les entreprises au coeur de la conception de ses futurs bureaux,['Antonin ZDRZALIK '],"['OtherOffice est une plateforme numérique pensée pour replacer les entreprises au coeur de la conception de ses futurs bureaux. \xa0', 'VOTRE ESPACE DE TRAVAIL SUR-MESURE', 'Notre objectif est simple : proposer des bureaux de meilleure qualité et conviviaux avec une expérience utilisateur qui met en avant la culture de votre entreprise et favorise le bien-être de vos équipes.\xa0', 'TRANSPARENCE', ""En s'inscrivant sur notre plateforme, les entreprises peuvent consulter le profil qualité des bureaux déterminé sur les critères de l'OID (Observatoire Immobilier Durable) : Flexibilité, Services, Convivialité, Partage, Lumière, Biophilie."", 'Nous apportons de la transparence dans les offres de location de bureaux pour mieux les choisir.\xa0', 'COMMUNAUTÉ', 'Inscrivez-vous pour rejoindre le mouvement des entreprises connectées qui travaillent ensemble.', 'Suivez-nous sur LinkedIn pour être au courant des dernières tendances et actualités du moment. Participez à nos évènements et découvrez nos réalisations et notre communauté.', 'SERVICES', ""Vous avez besoin d'un cours de yoga, d'un repas préparé par un grand chef ?"", ""Quelle que soit votre demande, si vous choisissez des bureaux avec OtherOffice, notre conciergerie s'occupe de toutes vos demandes.\xa0"", '', 'Ajoutée le : 04 septembre 2019']",otheroffice.fr,['https://www.linkedin.com/company/otheroffice/'],Société par action simplifiées
